Выбор;Тип;Вид;Организация;Родитель;Владелец;
Нет;Справочники;УбыткиПрошлыхЛет;Нет;Нет;Нет;
Нет;Справочники;УдалитьВидыВычетовНДФЛ;Нет;Нет;Нет;
Нет;Справочники;УдалитьВычетыНДФЛ;Нет;Нет;Нет;
Нет;Справочники;УдалитьДокументыУдостоверяющиеЛичность;Нет;Нет;Нет;
Нет;Справочники;УдалитьДоходыЕСН;Нет;Нет;Нет;
Нет;Справочники;УдалитьДоходыНДФЛ;Нет;Нет;Нет;
Нет;Справочники;УдалитьДоходыПоСтраховымВзносам;Нет;Нет;Нет;
Нет;Справочники;УдалитьОснованияВыслугиЛет;Нет;Нет;Нет;
Нет;Справочники;УдалитьОснованияИсчисляемогоСтраховогоСтажа;Нет;Нет;Нет;
Нет;Справочники;УдалитьОсобыеУсловияТруда;Нет;Нет;Нет;
Нет;Справочники;УдалитьПараметрыИсчисляемогоСтраховогоСтажа2014;Нет;Нет;Нет;
Нет;Справочники;УдалитьТерриториальныеУсловия;Нет;Нет;Нет;
Нет;Справочники;УчетныеЗаписиЭлектроннойПочты;Нет;Нет;Нет;
Нет;Справочники;ФизическиеЛица;Нет;Нет;Нет;
Нет;Справочники;ШаблоныДокументов;Нет;Нет;Нет;
Нет;Справочники;ШаблоныКодовМаркировкиСУЗ;Нет;Нет;Нет;
